"","AFG","ALB","DZA","AGO","ATG","ARG","ARM","ABW","AUS","AUT","AZE","BHS","BHR","BGD","BRB","BLR","BEL","BLZ","BEN","BTN","BOL","BIH","BWA","BRA","BRN","BGR","BFA","BDI","KHM","CMR","CAN","CPV","CAF","TCD","CHL","CHN","COL","COM","COG","CRI","HRV","CUB","CUW","CYP","CZE","DNK","DJI","DOM","COD","ECU","EGY","SLV","GNQ","ERI","EST","ETH","FJI","FIN","FRA","GUF","PYF","GAB","GMB","GEO","DEU","GHA","GRC","GRD","GLP","GUM","GTM","GIN","GNB","GUY","HTI","HND","HKG","HUN","ISL","IND","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","JOR","KAZ","KEN","KIR","KWT","KGZ","LAO","LVA","LBN","LSO","LBR","LBY","LTU","LUX","MAC","MKD","MDG","MWI","MYS","MDV","MLI","MLT","MTQ","MRT","MUS","MYT","MEX","FSM","MDA","MNG","MNE","MAR","MOZ","MMR","NAM","NPL","NLD","NCL","NZL","NIC","NER","NGA","PRK","NOR","OMN","PAK","PSE","PAN","PNG","PRY","PER","PHL","POL","PRT","PRI","QAT","REU","ROU","RUS","RWA","LCA","VCT","WSM","STP","SAU","SEN","SRB","SYC","SLE","SGP","SVK","SVN","SLB","SOM","ZAF","KOR","SSD","ESP","LKA","SDN","SUR","SWZ","SWE","CHE","SYR","TWN","TJK","TZA","THA","TLS","TGO","TON","TTO","TUN","TUR","TKM","UGA","UKR","ARE","GBR","USA","VIR","URY","UZB","VUT","VEN","VNM","ESH","YEM","ZMB","ZWE"
"72",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.2,0,0,0,42.1833333333333,0,0,15.2,0,0,0,0,0,0,1017.86666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1127.33333333333,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,1065.2,0,0,110.933333333333,0,0,0,0,0,0,0,86.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1317.33333333333,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.2,0,0,0,0,0,0,0,0,0,0,0,0
"73",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.53333333333333,0,0,0,0,0,0,0,0,1017.86666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.7333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.6666666666667,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,79.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1033.6,0,0,0,0,0,0,0,0,0,0,0,683.1,0,0,0,0,0,0,0,180.8,0,0,0,0,1013.86666666667,0,0,0,0,0
"75",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.1333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1122,0,0,0,0,0,0,0,0,0,0,48.5333333333333,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,91.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1807.2,0,0,0,0,0,0,0,0,0,0
"76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322.366666666667,0,0,0,0,0,0,0,0,0,0,0,1494.56666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1098.7,0,0,0,0,1447.16666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.9333333333333,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,192.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260.43333333333,0,0,0,0,0,0,0,0,0,0
"77",0,0,0,0,0,0,0,0,3552.26666666667,0,0,0,64.5333333333333,159.333333333333,0,0,0,0,0,0,0,0,0,0,134.4,0,0,0,411,0,1706.8,0,0,0,0,26074.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.333333333333,107.8,237.616666666667,680.8,0,0,0,0,0,757.366666666667,0,0,0,0,82.6666666666667,0,0,0,0,0,0,0,0,0,2359.86666666667,3385.21666666667,0,0,0,167.4,433.333333333333,0,0,6999.83333333333,0,66.4,0,0,0,0,0,0,0,0,0,0,0,0,5.93333333333333,0,0,0,3773.58333333333,384.666666666667,0,0,0,0,84.8,0,0,0,0,125.2,0,0,0,91.7333333333333,0,228.533333333333,0,0,778.4,0,0,0,0,0,0,0,0,0,52.2666666666667,0,0,4489,0,0,0,490.166666666667,0,0,601.183333333333,0,0,0,0,0,104.866666666667,0,0,0,0,6171.21666666667,0,0,0,0,618,5319.7,0,0,0,0,0,0,0,204.4,0,15066.9333333333,0,0,7286.1,0,0,0,0,0,269.6,0,0,0,1635.96666666667,2343.95,3459.7,0,0,0,0,0,1644.51666666667,0,0,0,0
"78",0,0,0,0,0,0,0,0,0,1203.86666666667,48,0,0,0,0,16.0666666666667,684.666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1157.2,0,0,48,118.65,160.3,0,0,0,0,40.5333333333333,0,0,0,0,0,0,225.466666666667,565.066666666667,0,0,0,0,0,2247.93333333333,0,44.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,258.1,1082.93333333333,0,0,0,0,0,0,0,0,0,0,26.7666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.8,0,0,0,0,0,0,0,0,300,81.7166666666667,0,157.2,0,1143.46666666667,466.066666666667,0,0,0,0,0,0,0,1016.06666666667,0,0,0,1000,1000,0,0,0,0,0,344.4,0,0,0,0,339.2,522.133333333333,0,0,0,0,0,0,0,0,0,0,424.833333333333,0,0,1168,96,1903.26666666667,0,0,0,0,0,0,0,0,0,0,0
"79",0,0,0,0,0,0,0,0,41.8,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468.7,0,0,0,0,0,0,0,0,0,0,0,6.1,215.8,0,0,0,0,0,235.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1713.53333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333.233333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1252.6,659.2,0,0,0,0,0,0,0,0,0,0
"80",486,0,0,0,0,0,0,0,238.933333333333,158.866666666667,0,0,1423.15,2093.16666666667,0,0,489.5,0,0,1313.33333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2256.21666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.2,0,0,0,0,510.766666666667,0,117.933333333333,953.666666666667,0,0,0,0,0,2020,0,0,0,0,0,0,0,0,0,0,0,2359.86666666667,0,0,246972.366666667,0,142.8,75.5333333333333,0,117.916666666667,81.8666666666667,0,0,566,135.6,157.466666666667,368.166666666667,0,1351.3,0,0,0,0,0,0,0,0,0,0,0,0,0,3176,606.533333333333,0,0,0,0,231.1,0,0,0,0,0,0,0,0,1109.6,0,2514.46666666667,0,0,0,0,0,0,0,0,3556.36666666667,1091.6,0,0,0,0,0,0,0,0,0,3609.45,43.2,10.7333333333333,391.733333333333,0,0,0,0,0,5014.13333333333,0,0,0,0,5922.83333333333,0,0,0,0,170.2,226.4,0,0,2358.2,0,0,0,0,424.8,0,122.8,0,0,4449.88333333333,0,0,0,0,0,585.75,201.6,0,0,19822.8666666667,4559.85,1456,0,0,182,0,0,0,0,103.166666666667,0,0
"81",0,0,0,0,0,0,0,0,4370.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.9,0,0,0,0,0,112,0,0,0,0,1656.23333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.23333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3385.21666666667,0,0,0,259663.7,0,0,0,0,0,0,0,1521.93333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15019.3666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,1016.26666666667,0,0,412.133333333333,0,0,0,615.933333333333,0,0,0,0,0,0,0,0,1848.76666666667,0,0,0,0,16434.7833333333,0,0,0,0,0,1447.46666666667,0,0,225.733333333333,0,0,0,0,0,0,1702.15,0,0,2009.66666666667,1112,0,0,0,0,0,0,0,0,1984.05,0,0,0,0,0,0,0,171.266666666667,0,4.61666666666667,0,0
